Year,Population,Population_growth,Life_expectancy,GDP (current US$),GDP_growth,Inflation,Agriculture,Industry,Exports,Imports,Military,Merchandise_trade,FDI
1990,873277798,2.076,57.865,3.21E+11,5.533,10.668,26.896,27.454,7.053,8.453,3.146,12.944,236690000
1991,891273209,2.040,58.353,2.70E+11,1.057,13.752,27.333,26.442,8.494,8.493,2.910,14.133,73537638
1992,909307016,2.003,58.851,2.88E+11,5.482,8.965,26.670,26.793,8.843,9.590,2.705,14.992,276512439
1993,927403860,1.971,59.349,2.79E+11,4.751,9.862,26.882,26.782,9.834,9.817,2.824,15.883,550370025
1994,945601831,1.943,59.840,3.27E+11,6.659,9.980,26.389,27.628,9.888,10.190,2.665,15.848,973271469
1995,963922588,1.919,60.320,3.60E+11,7.574,9.063,24.457,28.600,10.844,12.023,2.578,18.135,2143628110
1996,982365243,1.895,60.783,3.93E+11,7.550,7.575,25.417,27.912,10.385,11.544,2.473,18.083,2426057022
1997,1000900030,1.869,61.233,4.16E+11,4.050,6.476,24.345,27.837,10.691,11.929,2.648,18.381,3577330042
1998,1019483581,1.840,61.669,4.21E+11,6.184,8.010,24.379,27.303,11.018,12.681,2.727,18.136,2634651658
1999,1038058156,1.806,62.093,4.59E+11,8.846,3.068,22.989,26.519,11.452,13.364,2.957,18.013,2168591054
2000,1056575549,1.768,62.505,4.68E+11,3.841,3.645,21.609,27.326,12.997,13.904,2.949,20.048,3584217307
2001,1075000085,1.729,62.907,4.85E+11,4.824,3.216,21.621,26.488,12.558,13.435,2.924,19.313,5128093562
2002,1093317189,1.690,63.304,5.15E+11,3.804,3.716,19.537,27.661,14.264,15.244,2.827,20.540,5208967106
2003,1111523144,1.651,63.699,6.08E+11,7.860,3.868,19.581,27.474,14.948,15.645,2.678,21.642,3681984671
2004,1129623456,1.615,64.095,7.09E+11,7.923,5.725,17.815,29.219,17.859,19.645,2.829,24.878,5429250990
2005,1147609927,1.580,64.500,8.20E+11,7.923,5.622,17.620,29.534,19.605,22.396,2.755,29.558,7269407226
2006,1165486291,1.546,64.918,9.40E+11,8.061,8.401,16.809,30.927,21.268,24.457,2.527,31.929,20029119267
2007,1183209472,1.509,65.350,1.22E+12,7.661,6.944,16.750,30.903,20.800,24.887,2.343,31.192,25227740887
2008,1200669765,1.465,65.794,1.20E+12,3.087,9.194,16.791,31.137,24.097,29.271,2.550,43.028,43406277076
2009,1217726215,1.411,66.244,1.34E+12,7.862,7.040,16.744,31.121,20.401,25.872,2.893,31.457,35581372930
2010,1234281170,1.350,66.693,1.68E+12,8.498,10.526,17.027,30.725,22.401,26.854,2.707,34.410,27396885034
2011,1250288729,1.289,67.130,1.82E+12,5.241,8.734,17.192,30.162,24.540,31.083,2.651,42.092,36498654598
2012,1265782790,1.232,67.545,1.83E+12,5.456,7.934,16.845,29.399,24.534,31.259,2.537,43.035,23995685014
2013,1280846129,1.183,67.931,1.86E+12,6.386,6.187,17.148,28.405,25.431,28.413,2.473,42.023,28153031270
2014,1295604184,1.146,68.286,2.04E+12,7.410,3.332,16.792,27.656,22.968,25.954,2.497,38.526,34576643694
2015,1310152403,1.117,68.607,2.10E+12,7.996,2.280,16.175,27.347,19.813,22.110,2.405,31.474,44009492130
2016,1324509589,1.090,68.897,2.29E+12,8.256,3.238,16.364,26.619,19.158,20.924,2.506,27.287,44458571546
2017,1338658835,1.063,69.165,2.65E+12,7.044,3.778,16.358,26.479,18.783,21.940,2.510,28.241,39966091359
2018,1352617328,1.037,69.416,2.71E+12,6.120,4.556,15.407,26.128,19.853,23.552,2.383,30.932,42117450737
2019,1366417754,1.015,69.121,2.88E+12,5.024,2.311,15.965,24.881,18.662,21.357,2.395,28.183,50610647354
2020,1396387127,0.960,69.730,2.66E+12,-7.250,6.620,24.930,26.200,18.710,19.100,2.100,10.900,64362360000
